id,domain,difficulty,preview,contentVersion,ScenarioBucket
is0kzfgyZOA5nwUrC1H7,People,Hard,"Three weeks before a major release, your lead developer submits a resignation letter citing exhaustion, and two other senior engineers have quietly started updating their LinkedIn profiles. Sprint velocity has dropped 40% over the past month. Your sp...",1.16.1-EC113,Multi-Team
l19SeaOM1e4ROniq4ztv,People,Hard,"You are leading a software development project, and one of your team members is constantly siloing information, refusing to share knowledge. How should you address this issue to promote collaboration?",,Multi-Team
MX3C57O8mRFKI5R7NjLE,People,Easy,"Several team-building activities have been organized to strengthen group cohesion on a newly formed project team. One member has not attended any of these sessions, though their task performance remains satisfactory. What should the PM do NEXT?",1.16.1-EC113,Multi-Team
mXs1mTtViak56ibYFC4Q,People,Medium,"You notice that two team members have very different communication styles, leading to misunderstandings. As a project manager, what should you do to bridge this gap?",,Multi-Team
n4M27bsVQzqFbO7cU4Ol,People,Hard,"You are leading a project where team members struggle with differing personalities, causing communication breakdowns. What initial action should you take to improve team dynamics?",,Multi-Team
N81PK5gfZsZPrPL5WIbd,People,Medium,You are managing a diverse team and notice that collaboration is lacking. What is the most effective strategy to foster teamwork?,,Multi-Team
nmLj4ARS9upjakXmxIz0,People,Hard,"A newly hired developer joins a high-performing agile team midway through a critical release. The existing members have strong working relationships built over several sprints, and the new hire's contributions during stand-ups are frequently overlook...",1.16.1-EC113,Multi-Team
nVnYTG3hLrSJN94qBbTO,People,Medium,"As project deadlines approach, you observe that team cohesion is declining. What action should you take to foster a sense of unity?",,Multi-Team
PWOQNbPCooD3rOHpI5V8,People,Medium,"A cross-functional team delivering a regulatory compliance project has hit its fourth consecutive sprint without meeting commitments. Privately, several members tell the PM they feel their work goes unnoticed because leadership only communicates when...",1.16.1-EC113,Stakeholder Politics
pZk0Csj2DCC1owm54CwU,People,Easy,A team member has shown signs of stress due to tight deadlines. What is your most suitable action to support them?,,Stakeholder Politics
RcZYR3mm8Oewwe9YkZJc,People,Hard,"A $2.4M infrastructure upgrade is three weeks from its go-live date. The lead systems architect and the senior database engineer have been disagreeing for over a month about the migration approach. Sprint velocity has dropped 30%, and two other team ...",1.16.1-EC113,Multi-Team
sHYsMzRpHGJ41E5xNWjv,People,Hard,"You are managing a project with tight deadlines, and one of the team members is consistently missing deadlines, despite previous discussions. What should be your next step to address this issue?",,Stakeholder Politics
syfZ34Pdgebm75NygJVX,People,Medium,"Two developers on a 12-person mobile app project have been publicly criticizing each other's code during peer reviews. Other team members have started skipping the review sessions to avoid the discomfort, and defect rates have risen over the past two...",1.16.1-EC113,Stakeholder Politics
sZtQKNKHUuPvI52lU8WY,People,Easy,"A distributed team holds daily stand-ups via video call. One remote member, located in a different time zone, has stopped turning on their camera and rarely speaks unless directly asked. Their deliverables remain on track, but their engagement has vi...",1.16.1-EC113,Multi-Team
t0V7XRjxlN08xdMFdGVm,People,Hard,"Midway through integration testing on a healthcare compliance platform, your QA lead and DevOps engineer have stopped communicating directly. They route all messages through a junior developer, who has complained to you about being caught in the midd...",1.16.1-EC113,Stakeholder Politics
tghvjUyCiqlApVbKUpNc,People,Hard,"As a project manager, you notice that a talented but introverted team member is frequently overlooked during team discussions, which may affect their motivation. What is the best way to ensure that their contributions are recognized?",,Stakeholder Politics
tLBNVdQ32ei5aPnZiYfu,People,Medium,"During a project kickoff meeting, one team member dominates the conversation, making others hesitant to share their ideas. What is the best approach to ensure everyone's input is heard?",,Stakeholder Politics
TSgN6qOvVrRI5Fpn0RWI,People,Hard,"On a regulatory-compliance project for a financial services client, the business analyst insists that user-story refinement must be completed before any development begins, while the tech lead argues that parallel prototyping will save three weeks on...",1.16.1-EC113,Stakeholder Politics
VYcNsV4PlzTeUZVZJyWN,People,Hard,"You notice that a highly skilled member of your team is often reluctant to collaborate with others, creating friction within the team. What action should you take to enhance collaboration?",,Multi-Team
xkv5YW2u1kfxIowzBuHp,People,Medium,You are midway through your project and observe that several team members are disengaged in meetings. What action should you take to revive their interest?,,Stakeholder Politics
xPrU4Gux6WxtKgjFIlKh,People,Medium,"Your project team has diverse cultural backgrounds, which sometimes leads to miscommunication. What should you prioritize to improve communication within the team?",,Multi-Team
zcwvTJYsZx5D8FKD5UWp,People,Medium,One of your team members is resistant to feedback during performance reviews. How should you approach this situation?,,Stakeholder Politics
znkiLiZaAkIE32fWLHUF,People,Medium,"A senior architect on the team consistently delivers technically excellent work but resists collaborative practices — they skip code reviews, rarely participate in sprint planning discussions, and prefer to communicate through documentation rather th...",1.16.1-EC113,Multi-Team
ZvUx4golmImqlDf1Zd1u,People,Medium,"A newly formed cross-functional team of nine includes members from engineering, marketing, and customer support. Within the first two weeks, friction has surfaced: the engineers prefer async communication and deep-focus blocks, the marketing staff fa...",1.16.1-EC113,Multi-Team
0JbzFYyEzhVlNjMFpTPT,Process,Hard,"Following a project audit, it becomes evident that the project team lacks clarity on their roles and responsibilities, causing inefficiencies. What process should the project manager implement to rectify this?",,Governance
0xtTCBbuwoktFogDoOfT,Process,Medium,"During the project execution phase, a manager notices that communication between teams is lacking. What process is critical for resolving this issue?",,Multi-Team
1EMXIL9TH0O4QJSIspDW,Process,Hard,Project delays have intensified due to repeated failures in correctly identifying and assessing risks. What process should the project manager reinforce to mitigate this issue?,,Risk
3feiYx8Ii8ncIfWVWnIy,Process,Hard,"In a large-scale project, the project manager realizes that numerous change requests are being filed, leading to confusion and misalignment among the team. What process should the project manager reinforce to better manage these changes?",,Product Reality
4Imz8Swp45F4Qmsc20Xg,Process,Medium,"During a retrospective, a Scrum Master learns that two sub-teams working on interdependent deliverables have been duplicating effort and missing integration points. Developers report unclear handoff expectations, and the sprint velocity has dropped f...",1.16.1-EC113,Multi-Team
4uiFREjSNZZCKWNf4ys8,Process,Medium,A project manager is attempting to streamline the approval process for a project. What should be their first step?,,Governance
5B0ILe2zxRsJLvDWA9w6,Process,Medium,The project manager has received feedback that some project deliverables did not meet quality standards. What should the manager do to address this issue?,,Product Reality
5oxtclfXzoMNPtl2ysTw,Process,Medium,A project manager is implementing a new software solution but finds inconsistent data from multiple sources. What process should they initiate to ensure data integrity and consistency?,,Data/EVM
7CusV9DLGiJvv7Jjdb7t,Process,Hard,A project team is consistently missing deadlines due to unclear process definitions. What should the project manager focus on to rectify this situation?,,Product Reality
8LGEmKElo4APeyHt0zxc,Process,Medium,"After transitioning from waterfall to a hybrid approach, a construction project team is struggling with handoffs between design and engineering. Work items sit idle for days between phases, and the team disagrees about whether the old approval gates ...",1.16.1-EC113,Hybrid
9aySz4BsCYgW3sXMok0G,Process,Easy,"Multiple workstreams on a cross-functional project are using different tools and cadences to share progress, resulting in duplicated work and missed hand-offs between teams. What is the MOST appropriate response to reduce these communication gaps?",1.16.1-EC113,Multi-Team
9d9wKBa27EqwZJ3ejp3U,Process,Hard,"A construction project is experiencing significant delays due to poor adherence to safety protocols, leading to frequent accidents. Which process should the project manager reinforce to mitigate safety risks?",,Risk
A4Ko6dk5mXqbmIGVG8GX,Process,Hard,"In the execution phase, the project manager realizes that the project's quality checks are inadequate and leading to defects in deliverables. Which process should be introduced to enhance quality?",,Product Reality
b4hJGWxR1ZE8jit8D0oW,Process,Medium,"A pharmaceutical company's project team has delivered two consecutive batches of documentation that failed external review. The quality management plan exists and audits have been performed, yet defects are still reaching the client. The PM suspects ...",1.16.1-EC113,Product Reality
bG6DzYbLfxXn8eqL9wwE,Process,Hard,"During the closure phase, a project manager reviews the project outcomes and realizes that not all stakeholder requirements were met. Which process should the manager revisit to prevent this in future projects?",,Stakeholder Politics
D7MX2Qd2Q3HZiQmTie7c,Process,Hard,"Nine months into a highway expansion program, the PM's latest status report shows that 60% of scheduled milestones have slipped by at least two weeks. The earned-value analysis reveals an SPI of 0.78. After investigation, the PM finds that heavy equi...",1.16.1-EC113,Risk
D9talRXRVKKY8PLQmw9M,Process,Hard,"During an ongoing software development project, the team is facing repetitive integration issues due to a lack of defined protocols. What process should the project manager implement to enhance integration efficiency?",,Product Reality
DOrD3qZ1fABFpxvh2F4e,Process,Medium,"An agile transformation initiative has experienced four unplanned scope additions in the last two iterations, each approved informally by the product owner without impact analysis. The delivery team is frustrated because sprint commitments keep shift...",1.16.1-EC113,Hybrid
emv-sample-001,Process,Medium,"A project manager is performing quantitative risk analysis on two response strategies for a critical-path activity. Strategy A—outsource the component—has a 60% probability of saving $50,000. Strategy B—build an in-house production line—has a 30% pro...",,Risk
emv-sample-002,Process,Easy,"During quantitative risk analysis, a project manager identifies two positive risks. Opportunity A has a 40% probability of generating $80,000 in additional revenue. Opportunity B has a 70% probability of generating $40,000 in additional revenue. Whic...",,Risk
emv-sample-003,Process,Medium,"A project manager is assessing two threats to a construction project. Risk A—foundation delay—has a 25% probability with an estimated cost impact of -$200,000. Risk B—material shortage—has a 50% probability with an estimated cost impact of -$60,000. ...",,Risk
emv-sample-004,Process,Hard,"A project team is evaluating three vendor proposals for a software integration. Vendor X offers a solution with a 50% probability of saving $60,000. Vendor Y offers a solution with a 30% probability of saving $150,000. Vendor Z offers a solution with...",,Procurement
emv-sample-005,Process,Medium,"A project manager must choose between two contract types for a procurement. A fixed-price contract has a 70% probability of keeping costs at $500,000. A time-and-materials contract has a 45% probability of completing at $400,000. Based on expected mo...",,Procurement
emv-sample-006,Process,Easy,"An organization is deciding between two technology investments for a portfolio of projects. Investment A—cloud migration—has a 55% probability of yielding $90,000 in operational savings. Investment B—on-premises upgrade—has a 75% probability of yield...",,Value
emv-sample-007,Process,Hard,"A project manager is evaluating risk responses using a decision tree. Response A—accept the risk—has a 20% probability of a -$300,000 impact and an 80% probability of $0 impact. Response B—mitigate the risk at a cost of $40,000—reduces the probabilit...",,Risk
F3t7N6HDRPbEHsXd5WwH,Process,Hard,A team is experiencing confusion due to multiple changes to the project requirements and roles. Which process should the project manager focus on to clarify this situation?,,Product Reality
fKduLC42EBwBhiCDVYND,Process,Medium,"During a project kickoff meeting, the project manager realizes that there are conflicting objectives among stakeholders. What process should the project manager focus on to align stakeholder expectations?",,Stakeholder Politics
GUFtgM6YLHUPZG9ssngg,Process,Medium,"During project execution, the project manager notices that the team is frequently deviating from the established processes. What should the project manager do to correct this issue?",,Governance
hBSBYpDGQQHlfqFjkFsx,Process,Hard,"During a project where team collaboration and participation have significantly declined, the project manager decides to assess the current processes in place. What process should the project manager investigate to enhance team engagement and contribu...",,Multi-Team
IBajrhrby9BSp5BDjdqT,Process,Easy,"During project execution, team members report confusion about who is responsible for certain deliverables. What process should be reviewed to enhance clarity?",,Multi-Team
III5qYDRt5taJCtsI1kQ,Process,Medium,The project manager is reviewing a project plan and notices that the deliverables have not been clearly defined. What process should be revisited to ensure clarity?,,Product Reality
JyQMCR3sT94cMpbUUlPi,Process,Hard,"A product development team is struggling with inconsistent quality in their outputs, leading to frequent customer complaints. What process should be implemented to enhance product quality before launching the product?",,Product Reality
k5vXQEkBOgh4l4g3DMuy,Process,Medium,"A project team has completed the first three of eight planned work packages. During a status review, the PM discovers that two upcoming work packages have dependencies on activities originally scheduled for later phases, and the current milestone dat...",1.16.1-EC113,Risk
kHZeTam6STUkLrgymqJV,Process,Medium,"Three parallel workstreams on a construction project are each reporting two-week delays. The project sponsor is pushing the PM to cut lower-priority features to protect the contractual completion date, while the quality manager insists that removing ...",1.16.1-EC113,Stakeholder Politics
lkUMXwuVonkS3l8VcEdd,Process,Medium,"A data center relocation project is running three weeks behind schedule. The PM's analysis reveals that two critical-path activities are delayed because the same senior network architect is assigned to both tasks concurrently, along with obligations ...",1.16.1-EC113,Multi-Team
MKCSoS2mFrsrJTOK97Or,Process,Hard,"In a situation where a project’s scope has been formally approved but is being challenged by stakeholders during execution, what process should a project manager focus on to ensure proper handling?",,Stakeholder Politics
MLy2lK4IKH0kt6LwHfS9,Process,Medium,"Senior leadership on a pharmaceutical product launch has flagged concerns about regulatory approval delays, supplier reliability, and potential IP challenges. The PM has a risk register with fifteen identified risks but has not yet prioritized them. ...",1.16.1-EC113,Risk
MWgpFNReMgIJZbJBz3Fx,Process,Hard,"During the project execution phase, a project manager notices discrepancies between the planned and actual performance metrics. Which process should they initiate to address this issue?",,Data/EVM
MZH554J7h04LLK41xJ36,Process,Hard,A software implementation project is eight weeks into execution when the sponsor requests an accelerated delivery to capture a market window. The PM reviews performance data and finds the schedule performance index (SPI) at 0.82 and the cost performa...,1.16.1-EC113,Data/EVM
NEoFV8eBflEK5hUpsdPk,Process,Medium,"Several members of a 15-person construction project team have been duplicating tasks because they are unclear about who owns which deliverables. The project coordinator has received multiple complaints, and last week two engineers independently order...",1.16.1-EC113,Multi-Team
NVjQlGM7v9PnzJnNz8re,Process,Medium,"During the execution phase, the project team encounters unforeseen technical challenges. Which process should the project manager initiate to address these challenges effectively?",,Risk
OT2WW0gidowR7g8EK8FF,Process,Easy,"A newly formed team is missing deadlines on routine deliverables. When the PM investigates, she finds that different team members are performing the same type of task in completely different ways, with no documented guidance on expected steps or hand...",1.16.1-EC113,Multi-Team
QBMefOs8qjFvnCa2LHL4,Process,Medium,"During a project, the team encounters conflicts among stakeholders regarding the project scope. What process should the project manager implement to resolve these conflicts?",,Stakeholder Politics
QMqJAy8GBvqicZwYoZY7,Process,Medium,"With two sprints remaining, the client's UAT team rejects three deliverables, citing gaps between the output and the documented acceptance criteria. The PM confirms the original requirements were captured correctly in the scope baseline. The team bui...",1.16.1-EC113,Product Reality
qyEECY0aWgJNVNDsfXsZ,Process,Hard,"A global ERP implementation spanning four time zones just completed its Phase 1 milestone. During the retrospective, the change-management workstream lead admitted she had unknowingly duplicated training materials that the L&D team had already create...",1.16.1-EC113,Multi-Team
rb2HaDTrOj1uQhiAtdkq,Process,Medium,"Midway through execution, a sponsor raises concerns that recent deliverables, while technically sound and on schedule, are drifting from the strategic objectives that justified the project's funding. The PM reviews the project management plan and con...",1.16.1-EC113,Value
roSUHbmPtbV7meMpPvDL,Process,Easy,"A small software project has just kicked off. At the first team meeting, several developers ask who is responsible for code reviews, who approves pull requests, and who handles deployment. The PM realizes no formal documentation of these duties exist...",1.16.1-EC113,Multi-Team
SZxUTthsL5hrjzic7NMF,Process,Hard,"An enterprise software migration is six months in, and the PM discovers that teams are skipping the defined planning and review gates — some jump straight to execution, others conduct ad hoc testing without referencing the agreed quality criteria. Wh...",1.16.1-EC113,Governance
TIAcdngN0RpLqcE6IYBP,Process,Hard,"During a project review, stakeholders express dissatisfaction with deliverables not meeting their original expectations. How should the project manager address this to align future deliverables?",,Stakeholder Politics
vjohwQnrOQ2llB5T83HO,Process,Easy,"In the planning phase, a project manager discovers that some stakeholders have conflicting expectations. Which process should they initiate to address this?",,Stakeholder Politics
WEG9GGbYiVF2LCYb0LKD,Process,Hard,A project manager discovers that the scope of the project has expanded without formal approval during execution. Which process should be initiated to manage this change?,,Governance
WwccOKqprEh2MPTMluUu,Process,Hard,"During the execution of an organizational change project, the project manager finds out that team members are not following established change management procedures, leading to confusion. Which process should be emphasized to rectify this situation?",,Governance
XInCseWYKRLGfSaDXuAM,Process,Hard,"A consumer-goods company launched a project to redesign its go-to-market strategy. Six weeks in, the brand team and the digital marketing team have each independently developed competing social-media calendars. Meanwhile, the analytics group has been...",1.16.1-EC113,Multi-Team
zDGyCWuAiMDOTo2KzLK7,Process,Hard,"After receiving late feedback on a deliverable that does not meet requirements, which process should the project manager revisit to prevent future occurrences?",,Product Reality
ZfdYZ2wTJh0X23tLuzrV,Process,Medium,"A client-facing product team is two sprints from release when a key stakeholder submits three change requests that would add significant new functionality. The product owner supports the additions, arguing they will increase adoption, but the Scrum M...",1.16.1-EC113,Stakeholder Politics
ZqnX3xUrZoPLxlGfUTi6,Process,Medium,"Midway through an infrastructure upgrade, a newly onboarded team member reports that no risk reviews have occurred since the project kickoff four months ago. The PM confirms that the risk register was created during planning but has not been revisite...",1.16.1-EC113,Risk
ZYzJ7YLvBSsss1xFscMJ,Process,Medium,"An enterprise data-migration project has surfaced risks including legacy-system incompatibilities, vendor staffing shortages, and a potential data-privacy regulation change taking effect mid-project. The PM has completed risk identification and quali...",1.16.1-EC113,Risk
